#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
2:6567170-6567493|-  -            108 62565at72274         -             93     4e-52  173.1  13.3   1   1   1.1e-54   6.8e-52  172.3  13.3     1    92     1   106     1   107 0.85 2_6072 # 6567170 # 6567493 # -1 # ID=2_6072;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.586
2:6286967-6288508|+  -            514 62565at72274         -             93    0.0052   15.7   6.9   1   3     0.029        17    4.4   0.0    33    52     9    28     5    64 0.84 2_5819 # 6286967 # 6288508 # 1 # ID=2_5819;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.654
2:6286967-6288508|+  -            514 62565at72274         -             93    0.0052   15.7   6.9   2   3   0.00027      0.16   10.9   4.1     9    58   183   234   174   271 0.81 2_5819 # 6286967 # 6288508 # 1 # ID=2_5819;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.654
2:6286967-6288508|+  -            514 62565at72274         -             93    0.0052   15.7   6.9   3   3       2.6   1.5e+03   -1.9   0.1    15    49   256   288   240   291 0.66 2_5819 # 6286967 # 6288508 # 1 # ID=2_5819;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.654
2:4123985-4126801|+  -            939 62565at72274         -             93      0.25   10.3   4.7   1   2   0.00043      0.26   10.2   1.3    38    54   538   554   534   570 0.90 2_3829 # 4123985 # 4126801 # 1 # ID=2_3829;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.689
2:4123985-4126801|+  -            939 62565at72274         -             93      0.25   10.3   4.7   2   2      0.59   3.5e+02    0.2   0.1    31    54   585   608   567   614 0.79 2_3829 # 4123985 # 4126801 # 1 # ID=2_3829;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.689
2:4784838-4786064|-  -            409 62565at72274         -             93       1.1    8.2   5.2   1   2     0.062        37    3.3   0.4    39    53    24    38    21    61 0.84 2_4419 # 4784838 # 4786064 # -1 # ID=2_4419;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=3-4bp;gc_cont=0.721
2:4784838-4786064|-  -            409 62565at72274         -             93       1.1    8.2   5.2   2   2    0.0058       3.5    6.6   0.5    35    53    70    88    62    94 0.85 2_4419 # 4784838 # 4786064 # -1 # ID=2_4419;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=3-4bp;gc_cont=0.721
2:4161860-4162789|-  -            310 62565at72274         -             93       2.2    7.3  16.3   1   2     0.058        35    3.4   0.6    34    65    28    58    21    92 0.67 2_3868 # 4161860 # 4162789 # -1 # ID=2_3868;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.657
2:4161860-4162789|-  -            310 62565at72274         -             93       2.2    7.3  16.3   2   2   0.00041      0.25   10.3   6.3     5    52    92   141    87   156 0.82 2_3868 # 4161860 # 4162789 # -1 # ID=2_3868;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.657
2:5536705-5537979|-  -            425 62565at72274         -             93       6.3    5.8   9.9   1   2     0.034        20    4.2   0.6    34    53   339   358   323   370 0.72 2_5092 # 5536705 # 5537979 # -1 # ID=2_5092;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.669
2:5536705-5537979|-  -            425 62565at72274         -             93       6.3    5.8   9.9   2   2     0.016       9.3    5.2   3.1    35    54   378   396   368   405 0.79 2_5092 # 5536705 # 5537979 # -1 # ID=2_5092;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.669
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/projects/internship2024/darwin/long_read/process_scripts/busco/1st_assembly/busco_downloads/lineages/pseudomonadales_odb10/hmms/62565at72274.hmm
# Target file:     /home/projects/internship2024/darwin/long_read/process_scripts/busco/1st_assembly/assembly1_results.busco/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/projects/internship2024/darwin/long_read/process_scripts/busco/1st_assembly/assembly1_results.busco/run_pseudomonadales_odb10/hmmer_output/62565at72274.out --cpu 1 /home/projects/internship2024/darwin/long_read/process_scripts/busco/1st_assembly/busco_downloads/lineages/pseudomonadales_odb10/hmms/62565at72274.hmm /home/projects/internship2024/darwin/long_read/process_scripts/busco/1st_assembly/assembly1_results.busco/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/projects/internship2024/darwin/long_read/process_scripts/busco/1st_assembly
# Date:            Wed Aug 14 12:51:36 2024
# [ok]
