#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
2:6134452-6137073|-  -            874 3242at72274          -            746         0 1351.5   2.6   1   1         0         0 1346.3   2.6    14   746    35   872    27   872 0.91 2_5676 # 6134452 # 6137073 # -1 # ID=2_5676;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=3-4bp;gc_cont=0.659
2:39000-41033|-      -            678 3242at72274          -            746     2e-05   21.2   0.0   1   2   4.1e-08   5.4e-05   19.7   0.0    16   147     9   139     5   153 0.72 2_35 # 39000 # 41033 # -1 # ID=2_35;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.658
2:39000-41033|-      -            678 3242at72274          -            746     2e-05   21.2   0.0   2   2      0.27   3.6e+02   -2.8   0.0   350   384   208   243   201   244 0.82 2_35 # 39000 # 41033 # -1 # ID=2_35;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.658
2:2160844-2162226|-  -            461 3242at72274          -            746     0.013   11.8   0.3   1   2    0.0039       5.1    3.3   0.4    11    50    22    59    18    66 0.85 2_1976 # 2160844 # 2162226 # -1 # ID=2_1976;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.654
2:2160844-2162226|-  -            461 3242at72274          -            746     0.013   11.8   0.3   2   2   0.00047      0.62    6.3   0.0   559   619   263   322   228   385 0.81 2_1976 # 2160844 # 2162226 # -1 # ID=2_1976;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.654
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/projects/internship2024/darwin/long_read/process_scripts/busco/merged_assembly1/busco_downloads/lineages/pseudomonadales_odb10/hmms/3242at72274.hmm
# Target file:     /home/projects/internship2024/darwin/long_read/process_scripts/busco/merged_assembly1/merged_merge1.busco/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/projects/internship2024/darwin/long_read/process_scripts/busco/merged_assembly1/merged_merge1.busco/run_pseudomonadales_odb10/hmmer_output/3242at72274.out --cpu 1 /home/projects/internship2024/darwin/long_read/process_scripts/busco/merged_assembly1/busco_downloads/lineages/pseudomonadales_odb10/hmms/3242at72274.hmm /home/projects/internship2024/darwin/long_read/process_scripts/busco/merged_assembly1/merged_merge1.busco/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/projects/internship2024/darwin/long_read/process_scripts/busco/merged_assembly1
# Date:            Tue Aug 13 13:55:46 2024
# [ok]
